Call..Failure,Complains,Subscription..Length,Charge..Amount,Seconds.of.Use,Frequency.of.use,Frequency.of.SMS,Distinct.Called.Numbers,Age.Group,Tariff.Plan,Status,Age,Customer.Value,Churn
24,1,7,9,16571,209,118,39,2,2,1,58,1704.3969015361904,1
28,1,4,6,19142,22,342,48,1,2,2,63,101.15730852556126,1
17,0,1,5,8625,123,93,40,5,2,1,18,3608.775016129956,1
13,0,15,4,6431,85,190,31,1,2,1,26,4403.415235255877,0
17,1,40,3,15926,42,2,37,4,2,1,21,2842.6415884401713,1
1,1,12,6,11704,39,429,27,4,1,1,45,129.36052946315502,0
21,0,22,4,437,168,486,14,1,1,1,29,1088.1265627476655,0
2,0,22,4,10780,174,110,22,3,2,1,41,2192.3456764746406,1
15,0,50,0,17216,19,176,23,5,1,2,63,2937.9061028074275,0
28,1,47,1,8988,108,256,12,1,2,2,26,2481.381712352356,0
8,0,17,4,8953,192,360,20,3,2,2,52,4579.330232056357,1
3,1,29,2,5794,243,21,11,1,2,2,55,4693.181582007527,0
0,0,46,1,3574,279,476,12,2,2,2,52,535.7623126958277,0
3,0,14,3,16301,227,397,38,4,2,1,50,691.9543910366932,0
0,0,50,3,684,35,495,22,2,1,1,52,1790.2745611619903,1
13,0,20,3,4233,44,219,49,2,1,2,63,2106.1744095029726,0
20,1,50,3,16961,27,468,45,5,1,1,37,2930.333463305628,0
15,1,48,2,12997,153,172,42,3,1,1,19,3865.7987489382836,0
19,0,33,6,8007,22,223,27,4,1,1,61,678.8385278087128,1
23,1,55,8,16611,206,389,13,2,1,1,43,4013.1984803877017,1
7,0,59,4,2328,90,64,16,4,2,1,59,3050.1415673765705,1
6,0,43,3,19115,37,276,23,3,1,2,30,4904.422303975008,1
2,0,15,1,9019,227,248,33,1,2,2,47,3255.8383904126613,1
16,0,12,1,16814,201,259,47,2,2,1,69,3580.4575237035883,1
0,1,40,4,9255,253,130,21,3,1,2,49,976.0443320108475,1
15,0,54,6,18093,37,112,9,4,1,2,53,3844.3097767951813,0
11,0,20,9,5782,220,285,7,3,2,2,36,396.3308884158684,0
26,1,30,9,1234,186,286,20,1,2,2,39,3282.6521809409305,1
18,0,38,8,5205,42,417,36,3,2,1,18,277.8645442435068,1
21,0,3,6,1420,113,210,6,4,2,2,28,576.129106547984,1
22,0,28,4,17152,259,19,25,2,2,1,43,539.3313715829539,0
21,1,56,9,9596,4,214,12,2,1,2,65,262.4203241127815,0
13,0,26,9,19488,67,309,15,5,1,2,36,1605.6945847294817,0
29,1,30,9,4355,227,250,29,4,2,1,36,4971.762289512681,0
5,0,13,5,19689,122,487,30,5,2,1,29,1741.1268423076815,1
5,0,13,2,17922,172,381,4,5,2,2,20,3803.879566692749,0
12,1,2,4,17715,152,408,31,1,2,2,35,661.5850792855027,0
18,0,37,7,8261,266,270,15,4,2,1,66,2272.4554013272736,0
21,0,49,0,13765,156,421,46,2,2,2,22,925.579177824461,1
7,1,38,0,5944,161,406,8,4,2,1,65,960.4858504660202,1
26,1,2,6,7126,213,179,21,1,2,1,41,498.45018287018985,1
26,1,36,4,16864,25,193,43,4,1,1,31,2160.22076513966,0
1,1,54,4,5263,291,440,39,4,2,2,68,377.67460374334706,0
20,1,26,0,15300,188,312,44,5,2,1,55,4549.056781778305,0
29,0,11,8,2793,121,78,36,4,1,1,20,2239.501607859772,1
0,1,8,0,2892,229,179,13,5,2,2,23,4192.830707189407,1
27,0,44,4,1198,58,491,15,5,2,1,29,4897.322248527561,0
14,0,40,9,18756,95,162,42,3,2,2,69,3388.8958941011983,0
0,0,43,8,18276,261,201,19,1,2,2,28,4507.553785670867,1
4,1,22,3,1883,135,13,43,5,1,1,56,676.8376025150119,0
27,1,20,7,797,282,346,14,4,2,2,43,4149.96822931218,0
28,0,8,5,8209,119,245,43,5,2,2,18,1356.0866660498793,0
15,1,29,2,8235,24,13,25,5,2,2,33,2362.9901942108045,1
18,1,40,3,16538,145,98,8,5,1,1,65,3232.9132454716614,1
3,1,26,1,15257,11,32,0,2,2,1,66,4517.717962676069,1
2,1,30,0,8050,86,435,34,2,2,1,64,4554.969004648709,1
16,0,17,7,5947,108,256,43,2,1,2,26,460.51188570922494,1
16,0,20,0,9617,265,33,19,2,1,1,22,1822.7774441052918,1
11,1,52,0,1892,221,18,44,3,1,1,69,3965.8760334210833,1
27,0,55,3,3424,73,151,5,5,1,2,25,3515.784446161127,1
29,1,16,9,9450,101,489,41,3,2,1,38,131.76222510414004,1
28,1,46,9,13418,136,259,9,4,1,2,50,2249.4470252847486,0
13,0,43,5,2015,190,163,47,1,1,1,56,4146.265475618088,0
20,0,7,8,4833,141,76,32,3,1,2,60,3688.422186668864,0
5,0,16,0,9894,72,313,15,2,2,2,37,2059.2489616616135,0
2,1,45,6,15942,166,415,35,2,1,2,62,3675.8056117337774,1
27,0,59,9,9065,167,136,5,4,2,2,39,2756.0535456830326,0
8,1,47,4,565,53,358,18,5,2,1,30,4563.144990341432,0
4,0,56,7,7412,258,207,30,1,1,2,56,2935.6358720027188,0
23,0,48,6,18402,110,241,1,3,2,2,28,2003.6708939718405,1
28,1,27,3,10077,231,66,17,5,1,2,35,4314.603122841172,0
16,1,53,3,10315,160,115,41,5,1,2,47,249.34421153320451,0
13,1,23,5,12834,18,403,27,3,2,2,50,4502.553218187383,0
20,1,24,5,2314,289,201,3,3,2,2,61,3481.734072488927,1
2,1,9,8,4412,49,375,0,3,2,1,20,4703.02930212039,0
27,1,35,4,3883,174,249,46,3,2,2,18,1252.5243456347919,1
290,1,51,7,199960,183,445,41,2,1,1,53,49994.553107531254,1
19,1,20,4,10051,184,441,49,5,2,2,23,4047.3163345299727,0
28,0,37,1,8216,80,277,15,5,2,2,54,3510.512898929384,1
20,1,42,5,11695,155,111,44,2,2,1,46,1051.6685114463253,1
22,1,17,8,7902,274,450,46,5,2,2,28,1377.947840364218,0
0,0,47,2,13187,282,330,1,3,1,2,69,2833.7117422633683,1
2,1,31,0,17573,248,472,35,1,1,1,30,2233.7530134538474,0
17,0,55,0,12288,146,233,0,5,2,1,28,3675.5859420826414,0
24,0,57,2,14210,6,175,38,1,2,1,55,1893.3834573316021,0
9,1,8,9,6884,156,391,22,1,1,1,68,4297.402609298613,1
21,0,15,4,19541,170,456,25,2,1,2,42,2159.6020251837513,0
25,1,31,2,10559,68,142,10,4,1,1,32,200.20640357396204,0
2,0,53,8,18125,93,31,41,5,1,1,30,86.82037942472853,0
7,0,30,7,3688,185,180,0,2,2,1,59,3233.7129304227387,1
13,0,46,2,14114,169,66,10,2,2,2,50,2702.7655914091292,0
23,1,20,8,5369,203,3,23,1,1,1,30,2713.7232167814436,1
17,1,39,5,11938,41,285,9,5,1,2,55,3950.0450801422276,1
14,0,53,6,4023,12,268,13,2,2,2,41,1878.601173198598,0
21,0,55,3,15982,153,235,13,3,2,2,37,4977.234987974924,1
22,1,12,3,17100,273,276,6,2,1,2,61,4727.650503049261,0
1,1,49,1,3967,297,40,22,3,2,1,34,64.80883578912355,1
26,0,17,4,7423,50,120,42,4,1,1,67,4478.713840993781,0
9,0,42,7,6450,211,493,21,3,2,2,41,3402.748251850536,0
1,1,30,6,12213,143,274,35,3,2,1,43,2510.4516840801743,1
25,1,29,6,3215,2,230,26,1,1,1,57,2913.737370470212,0
16,1,19,5,390,253,303,1,2,2,1,49,4209.286816321607,0
7,1,46,2,19421,255,85,38,4,1,1,46,4755.1869603651185,1
0,1,11,4,232,97,62,45,2,2,2,31,2801.6681236822124,1
8,0,34,0,19515,172,403,18,3,1,1,54,906.4572359429495,1
10,1,50,6,7634,149,191,6,3,1,1,39,3198.7699191113243,1
21,0,7,8,11498,278,292,11,2,1,2,51,381.0948419429033,1
15,1,44,0,10916,58,30,2,4,2,1,44,3175.6936841743386,0
6,0,58,1,233,112,329,46,4,1,1,45,4043.0590126343673,0
28,1,34,2,1391,242,145,4,1,1,1,39,1766.6571824294347,0
9,1,59,2,11084,56,106,7,3,2,2,60,355.9221212758684,1
22,0,20,7,9447,59,358,13,3,2,1,20,3461.130642064531,1
25,0,50,6,14184,215,109,35,1,1,1,39,1696.6437508428955,0
2,1,38,5,11882,232,275,6,2,1,2,65,1245.4832594027582,1
17,1,24,9,14838,54,209,6,3,2,1,38,3445.9087947162097,0
24,1,10,9,17273,207,138,49,2,2,2,33,4847.932344543974,0
23,1,32,3,7902,62,85,45,4,2,2,26,3726.6118871286876,1
12,1,52,8,12879,183,43,31,5,1,2,30,2456.7502027968776,1
27,0,15,0,17129,280,81,7,1,2,1,27,3002.5536121207406,1
25,0,37,1,9911,25,63,11,3,1,1,66,711.3945434289443,1
6,1,20,3,427,176,377,9,1,1,1,38,4066.06642841404,1
24,0,3,2,731,62,417,13,4,1,1,66,3021.4750530570946,1
3,0,37,0,799,72,342,8,4,2,1,59,4829.151989990087,0
12,0,57,4,7025,166,320,37,4,2,2,57,4897.41684144974,1
19,1,40,6,14481,224,54,29,4,2,2,24,1772.9334622020153,0
0,0,8,1,7624,64,73,4,5,1,2,63,4942.729677563354,0
7,1,40,4,14961,68,372,0,2,1,2,39,4784.167640512951,0
13,0,44,5,18922,8,128,0,2,2,1,35,3199.1598190256805,1
15,1,56,6,8232,235,255,19,5,2,2,38,1667.3221422957813,0
13,0,23,0,3367,197,421,48,2,1,2,68,3766.701103738845,1
11,1,40,6,13262,172,230,10,4,1,1,67,1356.1861567806793,1
18,1,11,3,5229,281,496,25,2,1,2,31,3149.219483372903,1
22,0,46,7,18799,27,136,43,1,1,1,27,122.90806899782014,1
14,1,8,3,13747,295,350,2,2,2,1,50,3142.913982720868,1
27,1,29,5,19333,133,454,5,1,1,1,26,4758.041423667809,0
1,1,30,8,4261,26,400,42,3,1,2,35,1175.7152135310982,1
1,1,56,4,3466,37,354,44,1,2,2,30,3890.8974335788876,0
22,1,10,3,13785,195,111,10,1,2,2,34,1467.117749578008,1
21,1,39,7,3088,202,484,7,4,2,2,40,3539.2487436432075,1
18,1,28,8,13015,84,307,28,4,2,2,42,3499.861849367627,1
24,1,49,3,1115,29,145,9,4,1,2,33,923.6887084523926,0
25,0,36,2,4578,98,446,33,1,1,1,41,2985.6395521050995,0
29,0,13,7,2590,189,32,23,5,1,1,48,4295.844765565768,0
28,1,32,4,7372,11,259,45,4,1,2,28,1912.665347197806,0
21,1,36,1,3573,90,86,47,4,1,2,40,3551.3847567445628,1
25,0,37,9,2978,29,330,16,1,2,1,58,3372.1501761727322,1
25,0,26,8,10639,212,435,31,3,2,1,56,1287.5700090030184,0
21,0,22,2,9422,37,264,10,3,1,1,39,4593.2177989285165,0
16,1,4,1,10858,59,319,33,2,2,2,50,2817.5604205813647,0
19,0,31,0,4975,293,29,23,3,1,2,58,1776.4632840276206,0
9,1,18,7,4925,142,391,4,4,1,2,59,821.7918785121836,1
5,1,38,2,10786,179,231,28,5,1,1,65,2367.2917620988446,1
14,0,24,6,19814,284,388,47,2,1,2,35,3650.5671895085,1
21,1,56,0,14716,111,75,47,5,1,2,31,3118.2013488549396,0
10,1,23,0,1995,229,446,33,5,2,2,45,3635.2627977638163,0
27,1,22,8,13844,20,128,15,4,2,2,28,3958.8037615019207,1
4,1,2,7,3891,144,270,24,1,1,2,41,2205.0238324471998,0
0,0,31,2,15522,145,88,36,1,1,2,53,2600.830920121462,0
7,0,55,5,7145,165,465,7,1,2,1,36,4932.110557904452,0
20,1,11,2,8498,139,421,28,3,1,2,30,4840.256979104328,1
27,1,28,3,9554,202,169,45,1,1,1,50,2074.0856237942958,0
11,0,46,0,2102,243,127,24,4,1,1,36,3425.8976210324754,1
11,1,32,4,3030,112,173,41,3,2,1,64,1337.950891639264,0
4,0,5,0,8524,200,436,22,1,1,2,69,763.487728178242,0
6,1,38,0,8107,258,25,33,5,1,2,49,3842.0061131186676,1
3,1,10,9,16626,254,60,2,4,2,2,32,2180.8998470901215,1
5,0,40,6,18268,22,487,29,4,1,2,28,885.2640182500949,1
12,0,46,5,14935,245,378,49,2,1,1,40,3794.2396176027355,1
19,0,24,1,9624,86,66,33,4,2,2,22,4575.851798970117,0
29,0,35,1,15823,218,437,31,5,2,1,39,4666.367502288685,0
14,1,44,6,7863,26,405,28,4,1,2,59,2981.668542313098,1
2,0,48,0,3109,289,25,8,2,2,2,35,2398.205644874368,1
22,1,23,1,18570,288,82,1,4,1,1,24,709.332930809028,0
7,0,17,7,12482,222,491,38,4,1,1,50,3963.9490212805163,0
19,0,1,5,1550,177,363,6,2,2,1,20,4726.615760501449,0
15,1,55,1,646,147,366,45,4,1,2,45,4447.302068086983,1
12,0,31,6,13407,226,59,4,3,2,1,18,3758.917272188354,1
17,0,31,3,12700,185,38,7,4,2,1,66,22.84431295388023,0
27,0,42,1,537,293,122,31,1,2,1,64,2038.7543730367036,1
9,0,57,5,14166,40,291,17,1,1,2,54,2053.5708585090397,0
29,1,55,8,6572,190,276,37,3,2,1,39,4471.8411647986595,1
18,1,42,8,234,78,424,45,4,1,1,65,328.2535845952417,1
16,0,53,7,14067,204,373,17,5,2,2,61,2656.112919409633,0
23,0,56,2,9696,277,303,48,4,2,1,36,680.6720196355859,0
18,0,34,2,14150,271,281,40,1,1,1,31,3311.4695713298615,1
27,1,9,1,17758,31,190,44,2,1,1,20,3961.2774408909045,0
25,1,22,4,1909,141,460,15,3,2,2,36,3209.7960598581567,1
22,1,13,3,12150,250,291,20,2,1,1,50,3972.925705103129,0
25,1,25,6,80,293,151,9,5,1,1,38,3037.4814886594013,0
4,0,48,3,2083,97,383,41,4,2,1,18,949.1955523743823,1
25,0,18,8,13378,135,232,3,5,2,1,43,1913.3175925118735,0
20,0,51,1,15217,276,473,43,2,1,1,27,4784.344080986275,1
29,1,12,5,18074,42,404,7,4,2,1,52,1440.8745638900334,1
22,0,40,6,17140,119,145,46,5,2,1,30,314.31192131675,1
8,1,17,3,2670,219,270,18,1,2,2,23,1924.149874477763,1
11,1,15,5,3751,45,334,46,1,1,2,60,1831.5355942205724,0
20,0,42,6,11744,235,133,39,3,1,2,23,2351.544078662089,1
0,0,15,3,5261,47,170,39,1,1,1,52,2801.517110406063,1
25,0,15,7,14691,197,414,8,1,2,2,33,4962.116332535447,1
25,1,55,8,6852,83,27,29,2,1,1,58,3781.169710930086,0
0,1,39,0,1494,30,135,16,1,2,1,25,179.45382128855158,1
14,0,13,6,17285,160,412,39,1,2,1,20,3563.5616410325633,1
1,0,17,8,672,70,404,43,2,2,2,22,4121.158742058792,0
29,1,32,9,8630,7,464,14,1,2,2,38,4478.1536944219315,1
21,0,9,4,10268,51,375,3,1,1,1,48,2120.0305145120064,1
15,1,40,1,444,44,240,5,3,2,1,31,1568.1278405292476,0
24,1,20,9,9157,292,343,15,1,2,2,54,4196.623963616191,1
7,0,26,5,11982,299,441,25,1,1,2,36,3888.077046792694,1
12,0,27,6,8655,37,443,36,3,2,2,54,2680.2122498291287,0
20,0,21,1,18582,230,433,22,2,1,2,37,589.4139220757611,0
0,0,18,1,2287,261,227,12,1,1,2,69,3258.8066953405055,0
15,1,13,9,11957,67,286,46,5,1,2,19,328.337832164371,1
28,1,16,9,4008,178,302,16,2,2,2,24,501.8340234508362,1
6,1,9,0,11696,185,33,26,2,1,1,50,1655.7011946261573,0
4,0,12,3,9104,200,1,21,1,2,1,67,1855.8774843403119,1
21,1,44,6,496,12,361,36,3,1,2,59,2309.8701944514005,0
28,0,38,8,1463,213,194,18,2,1,2,23,1695.7147960937436,1
22,0,19,2,12459,219,93,38,3,1,1,24,168.94077717259648,0
2,0,7,6,16877,285,327,34,5,1,2,61,787.0784221286681,0
11,0,57,6,17810,243,307,12,3,2,1,35,575.5598291601716,0
25,0,35,6,9884,257,134,13,4,2,1,60,2155.917992829797,1
15,0,48,1,18177,57,203,47,3,1,2,46,1060.6446359083227,0
18,1,18,5,2723,35,249,30,2,1,1,36,1467.7264644748338,0
4,0,16,1,17042,192,146,44,3,1,2,42,2357.837316823631,1
21,1,55,5,4761,49,345,1,3,2,2,21,1177.8092990526402,0
24,1,39,9,7630,31,347,45,4,1,1,68,1229.6455219302966,1
28,0,4,2,16375,97,253,38,4,1,1,30,4165.720886932843,0
13,0,59,1,8741,42,398,36,1,2,1,49,2740.4343403032476,0
27,0,25,5,4350,46,333,13,2,1,2,44,4283.797257899984,0
4,1,32,1,207,269,175,8,1,1,2,68,2572.629576096052,0
14,0,40,4,4190,62,124,9,4,1,2,51,4546.321162116607,0
16,1,13,1,1883,18,250,6,3,1,2,45,1273.7103574650077,0
29,0,45,2,2886,100,397,27,4,2,2,26,3083.3501672360053,0
13,0,17,2,16861,36,130,45,5,2,2,25,2516.1588692693945,1
29,1,49,5,8953,106,49,24,3,2,2,38,4593.454633415965,0
19,1,37,5,8381,91,92,45,1,1,1,63,2092.3978892866558,1
4,0,6,9,13795,184,379,27,3,1,2,47,4274.119066332838,1
11,1,19,2,17139,215,309,1,5,2,1,46,2819.52025302932,1
15,1,13,2,9638,27,389,16,4,1,1,26,3542.7147593024865,1
25,1,57,0,4931,35,432,3,2,1,2,30,4434.465465597781,1
25,1,26,6,9855,17,406,12,2,2,1,35,4984.532073523976,1
15,1,14,7,5724,195,219,17,2,2,1,55,3655.6977932385976,0
20,0,31,1,12420,77,333,2,4,1,1,39,1572.6097645889135,0
6,0,54,3,4060,166,333,36,2,2,2,48,1495.0599664605486,0
3,1,4,9,4765,89,19,32,5,1,1,52,1545.519124459821,0
0,0,39,6,19996,263,204,40,4,2,2,59,489.5416014974913,0
29,0,8,7,6553,207,90,23,2,2,2,59,267.99445964434676,1
29,1,25,0,7378,211,443,7,1,1,2,27,2904.214381618488,1
4,0,13,3,18073,270,354,34,4,1,1,26,4052.942636108462,1
22,1,32,5,17700,262,172,1,4,2,1,48,180.67269907680094,0
25,1,59,2,7130,272,188,32,3,1,2,61,2833.1714821092023,0
9,0,38,4,3186,213,311,11,2,1,2,57,1858.805606114146,0
21,1,38,9,5789,63,1,21,1,1,2,41,4462.4260127880925,0
4,1,56,8,16122,11,360,12,5,2,1,58,726.9346444044311,1
3,1,28,2,17529,209,428,9,4,1,1,66,2817.1600250477286,1
1,1,53,4,7942,173,167,16,5,1,1,25,4854.603534973962,0
19,1,30,7,7548,255,367,42,5,2,1,67,1725.1648323253132,1
9,0,3,5,16944,100,23,4,5,2,1,37,3708.8845564675275,0
25,0,28,3,18296,15,412,8,3,2,1,34,4412.255775200427,0
18,1,3,7,18248,196,450,12,5,2,1,45,931.0528123586437,0
25,1,45,2,296,257,364,22,2,1,2,23,4962.63590131002,1
0,0,54,2,2409,243,67,29,2,1,1,59,4046.933325195151,1
23,1,34,3,1461,248,369,42,1,2,2,50,687.8212905626979,1
4,0,16,8,2268,104,193,3,1,2,1,45,1554.4235025741882,0
12,1,22,4,17378,181,83,20,5,1,2,18,3124.8501917867184,0
3,1,32,7,6554,154,437,42,5,1,1,58,4424.588813021963,0
15,1,38,5,16391,286,436,8,3,2,1,69,974.1776129613871,1
23,1,8,2,18899,168,206,6,5,1,1,52,3656.0279127274753,0
15,1,55,7,17801,46,48,15,5,1,2,41,1353.240066090104,0
22,1,8,8,18700,42,31,22,5,2,1,23,4027.0822531383233,1
1,1,57,7,7358,220,316,22,4,2,1,24,3417.2101363751667,0
16,0,6,3,17671,0,169,30,4,2,2,26,2614.5451733430364,1
27,0,14,5,17502,199,128,4,3,2,1,54,3249.3298120450004,1
26,0,32,0,7637,143,446,5,3,1,1,33,4382.226227669086,0
19,1,35,3,660,27,101,0,2,2,2,51,1932.1292992324186,0
23,1,10,7,8907,277,34,47,3,1,1,52,3846.250900780143,0
11,1,3,0,6922,40,306,27,2,1,2,52,794.5271743774823,0
17,1,59,2,11953,146,198,17,5,1,2,37,3505.927827209508,1
2,1,12,0,18913,177,300,23,3,2,2,40,3753.2868123585527,1
27,1,49,8,3970,166,76,12,3,1,1,59,2214.988483772276,1
0,1,59,1,3407,122,368,32,3,2,1,52,3968.1105264978864,1
0,0,31,8,9046,73,320,9,2,2,2,64,2785.516829389385,1
28,1,29,3,14547,238,13,6,2,2,2,63,4681.371988347329,1
18,0,5,1,4760,248,348,36,1,1,1,40,562.3321798068226,1
10,0,52,3,18281,262,130,31,2,2,1,21,654.1071313259089,0
4,1,25,9,13465,251,237,44,2,2,1,27,4212.137210222777,0
11,1,41,5,4087,110,279,21,4,1,2,60,4211.80637283176,0
2,0,31,6,7607,179,64,15,3,2,1,28,2356.1237560412933,0
0,0,21,2,4019,187,431,23,2,1,2,57,4819.811049361154,0
0,1,58,2,815,206,137,13,3,1,2,26,3396.9465931335158,0
7,1,20,9,12563,233,268,10,3,2,1,57,4914.26623381031,1
9,0,39,7,13292,23,227,18,4,2,1,29,2661.9769760065915,0
10,1,22,4,16158,25,200,22,3,2,2,34,1008.0667212400779,0
11,1,4,3,922,217,141,33,2,2,2,49,2221.965635145653,1
28,1,13,6,12929,9,99,39,3,1,1,40,4902.434209735072,1
12,0,45,6,14925,16,137,12,1,2,2,32,1852.0697651470375,0
11,0,42,8,17648,244,167,38,1,2,1,68,4785.082165674166,1
13,0,50,8,10979,205,406,43,4,1,1,45,3985.1067383715827,0
1,1,49,4,2722,257,98,27,2,2,2,69,2210.531638964987,1
28,1,20,7,5355,111,310,39,4,2,2,55,2709.3551597879177,0
18,0,52,9,13301,204,318,15,1,2,1,22,3037.1953864114776,0
17,0,13,0,2550,26,326,49,2,2,2,57,3328.8304236515282,0
2,0,17,8,11141,70,425,27,3,2,2,35,383.49608307559845,1
22,1,54,7,18057,175,354,3,2,1,1,38,4667.940262081066,1
16,0,36,5,11284,201,65,27,5,2,2,32,2984.9985655033274,0
25,0,33,2,18050,247,334,11,2,1,1,20,4655.746098019098,1
7,1,1,2,1384,117,328,15,3,1,2,63,3159.4923564418236,1
28,1,15,7,8252,8,46,48,5,1,1,43,2155.077445048755,0
25,1,13,4,7238,85,336,35,4,1,2,32,2834.640057681661,0
9,0,17,9,6026,22,381,19,2,2,2,62,4147.516370201425,1
25,1,24,6,10482,239,230,25,4,2,2,37,1630.6291572583687,1
29,1,58,4,13801,72,307,25,2,1,2,38,4782.300285379593,0
1,0,8,7,16120,26,145,21,1,2,2,43,2329.7759890286816,1
18,1,50,9,15580,80,206,8,1,2,2,58,4781.185010486932,1
8,0,27,9,8664,83,145,4,3,1,2,40,4403.783073716315,1
6,0,45,3,17342,198,151,16,1,2,2,66,3838.3097820790613,0
3,1,23,1,493,42,278,48,5,1,1,68,2337.1889971860305,1
25,1,46,2,16465,262,139,33,5,1,2,42,2934.7257215716004,1
20,1,8,7,6999,91,150,1,2,2,2,21,4190.147061801628,0
17,1,8,6,13833,83,20,6,4,2,2,69,2720.279009323503,1
12,1,59,1,2970,299,253,35,5,2,2,27,3690.947882692455,0
10,1,26,5,11,295,63,12,2,1,2,39,3953.2952550338164,0
28,0,47,8,15551,134,217,19,4,1,1,20,2565.4762283434234,0
23,0,59,3,17145,280,71,29,1,2,1,36,2681.237591768344,0
3,1,13,8,3185,58,477,29,2,1,2,48,989.173586109412,0
24,0,39,1,16409,240,161,10,4,2,2,26,1223.695888535421,0
20,1,37,1,1806,97,129,30,3,2,2,46,4524.715915971059,1
28,0,49,8,5664,61,68,2,3,2,2,54,4201.64806331659,0
24,0,28,6,14126,263,414,1,5,2,1,63,50.61279270057006,1
3,0,25,6,12894,112,224,47,4,1,2,24,4346.937929940312,0
9,1,16,0,5154,145,245,2,3,2,1,55,126.17442793401045,0
4,0,55,5,13767,215,67,14,5,1,2,41,2291.4020147116416,1
8,1,2,6,15226,255,453,16,2,1,1,25,337.16363055451336,0
23,0,54,5,1525,257,470,47,2,1,1,51,4844.1156922858445,0
2,0,18,5,760,193,492,6,4,1,1,43,4861.596279021081,0
16,0,17,1,16978,13,402,47,4,1,2,45,3054.354709833086,0
2,0,30,5,13880,102,383,4,4,1,2,45,1961.024554117668,1
15,0,39,3,1055,244,106,33,4,2,2,63,2559.963750972897,0
3,1,13,8,10046,244,108,32,3,1,2,24,3811.496602409579,0
17,1,32,0,3083,267,327,44,3,2,2,20,1115.9647986009186,0
16,0,50,7,15678,223,102,15,5,1,1,69,2208.612456084647,1
6,0,29,4,12108,219,140,36,3,2,1,39,3686.3434512654244,0
23,0,46,0,9650,216,64,2,2,2,1,55,1976.9623891856363,0
22,0,30,3,5957,3,133,46,5,1,2,63,159.98261046348216,1
29,1,18,0,5255,35,198,47,3,2,1,61,2536.972095275599,0
4,0,13,5,9411,177,367,42,4,2,2,35,3687.055812697733,1
11,1,43,1,16344,256,154,49,3,1,1,29,4884.082045922801,1
16,0,21,4,9691,16,78,20,1,1,2,48,185.2307659867536,1
22,1,30,6,18214,198,435,40,5,1,1,56,2699.603010754886,1
12,0,21,1,3395,47,381,7,3,1,2,22,2249.6933106947877,1
22,0,48,5,1203,61,481,21,3,1,1,61,1212.2439464546997,0
24,1,55,5,19194,68,249,4,2,1,1,58,3188.8136002361884,0
2,0,17,4,19476,146,376,16,4,1,1,46,818.1124642789106,1
8,0,40,4,3044,161,86,36,4,1,2,60,1419.3238365742639,0
29,0,19,2,7272,226,303,13,2,2,1,53,3908.7869508756216,0
16,1,52,9,3514,229,240,38,2,1,1,31,2302.058700127775,1
16,0,15,9,9990,177,87,40,1,2,1,61,4968.353234599424,1
29,0,9,1,6192,55,462,27,5,1,2,35,1932.3037207439702,0
19,1,52,6,10767,77,482,30,4,1,1,24,2316.3053305010817,0
15,1,10,0,16528,269,323,16,2,1,2,40,1501.2888104426702,1
24,1,44,5,7507,205,171,34,2,1,1,50,1181.4680309552273,0
21,0,31,5,4857,280,356,39,5,2,1,62,4611.407055974086,1
12,0,53,2,12118,227,16,21,2,2,2,33,3744.133200643655,1
26,0,23,1,17761,238,222,44,1,1,2,54,1667.0126610070668,1
18,1,52,1,3146,287,293,47,5,2,1,68,3500.779948228623,0
16,0,30,8,17177,81,393,28,1,1,2,42,4828.9187521828035,1
3,0,33,4,5756,249,309,9,3,2,2,26,370.23982806956957,1
11,1,57,6,4414,192,497,17,4,1,2,45,1322.5220218542966,1
28,1,52,4,17494,105,218,34,2,2,1,26,1002.892745975007,1
8,1,9,6,3937,188,233,43,5,2,1,29,4348.915818222051,1
18,1,54,3,3963,275,389,15,1,2,1,35,895.9516477575802,0
11,1,47,7,5897,73,247,49,4,1,2,44,1540.3799799483204,0
8,0,1,9,8974,9,389,48,4,2,2,43,2719.303866630924,0
6,1,44,9,14377,122,51,6,2,1,2,43,3105.4717779347484,1
27,0,35,6,17500,215,14,29,4,2,2,27,4040.9188126632794,0
13,0,11,9,16056,289,323,18,2,1,1,34,2036.6162327695185,1
19,1,34,4,1750,39,440,22,3,1,2,68,2671.223613269464,0
18,1,16,5,4027,192,111,7,2,1,1,49,4827.310375221026,0
25,1,9,4,11528,126,183,16,1,2,2,41,1486.8086832170313,1
14,0,32,6,5745,288,359,20,4,2,1,60,1240.471055826624,0
15,1,15,1,9679,70,6,25,4,1,1,65,3552.9959567087576,0
20,1,12,4,5938,136,50,27,4,1,2,25,3855.681356002359,0
4,1,33,9,12150,143,313,38,2,1,2,47,2073.8945159015416,1
2,1,45,2,13406,298,240,32,5,2,2,43,1064.8945911094531,0
11,1,14,8,19781,268,244,39,2,2,1,41,3894.6132790569613,1
24,0,57,5,17743,138,447,18,1,2,2,44,3352.4644763951906,1
19,0,57,9,4853,51,364,28,2,2,1,32,4381.139006401197,1
26,0,8,2,18325,16,366,19,4,2,2,45,4221.632321635607,0
20,1,8,6,3148,164,409,19,3,1,1,28,1025.9759225211667,0
3,1,27,3,16243,12,185,9,1,1,2,56,4161.695900443402,1
20,1,12,2,7933,189,286,11,3,1,1,19,875.8687055945186,1
22,0,1,7,9436,263,449,32,1,1,1,68,4318.519518889528,0
15,1,43,3,17669,220,91,24,1,2,1,26,3851.604670163392,0
