"Call..Failure","Complains","Subscription..Length","Charge..Amount","Seconds.of.Use","Frequency.of.use","Frequency.of.SMS","Distinct.Called.Numbers","Age.Group","Tariff.Plan","Status","Age","Customer.Value","Churn","Seconds.of.Use.Interval"
29,1,58,4,13801,72,307,25,2,1,2,38,4782.30028537959,0,"[0,4e+04]"
1,0,8,7,16120,26,145,21,1,2,2,43,2329.77598902868,1,"[0,4e+04]"
18,1,50,9,15580,80,206,8,1,2,2,58,4781.18501048693,1,"[0,4e+04]"
8,0,27,9,8664,83,145,4,3,1,2,40,4403.78307371631,1,"[0,4e+04]"
6,0,45,3,17342,198,151,16,1,2,2,66,3838.30978207906,0,"[0,4e+04]"
3,1,23,1,493,42,278,48,5,1,1,68,2337.18899718603,1,"[0,4e+04]"
25,1,46,2,16465,262,139,33,5,1,2,42,2934.7257215716,1,"[0,4e+04]"
20,1,8,7,6999,91,150,1,2,2,2,21,4190.14706180163,0,"[0,4e+04]"
17,1,8,6,13833,83,20,6,4,2,2,69,2720.2790093235,1,"[0,4e+04]"
12,1,59,1,2970,299,253,35,5,2,2,27,3690.94788269246,0,"[0,4e+04]"
10,1,26,5,11,295,63,12,2,1,2,39,3953.29525503382,0,"[0,4e+04]"
28,0,47,8,15551,134,217,19,4,1,1,20,2565.47622834342,0,"[0,4e+04]"
23,0,59,3,17145,280,71,29,1,2,1,36,2681.23759176834,0,"[0,4e+04]"
3,1,13,8,3185,58,477,29,2,1,2,48,989.173586109412,0,"[0,4e+04]"
24,0,39,1,16409,240,161,10,4,2,2,26,1223.69588853542,0,"[0,4e+04]"
20,1,590,1,1806,97,129,30,3,2,2,46,4524.71591597106,1,"[0,4e+04]"
28,0,49,8,5664,61,68,2,3,2,2,54,4201.64806331659,0,"[0,4e+04]"
24,0,28,6,14126,263,414,1,5,2,1,63,50.6127927005701,1,"[0,4e+04]"
3,0,25,6,12894,112,224,47,4,1,2,24,4346.93792994031,0,"[0,4e+04]"
9,1,16,0,5154,145,245,2,3,2,1,55,126.17442793401,0,"[0,4e+04]"
4,0,55,5,13767,215,67,14,5,1,2,41,2291.40201471164,1,"[0,4e+04]"
8,1,2,6,15226,255,453,16,2,1,1,25,337.163630554513,0,"[0,4e+04]"
23,0,54,5,1525,257,470,47,2,1,1,51,4844.11569228584,0,"[0,4e+04]"
2,0,18,5,760,193,492,6,4,1,1,43,4861.59627902108,0,"[0,4e+04]"
16,0,17,1,16978,13,402,47,4,1,2,45,3054.35470983309,0,"[0,4e+04]"
2,0,30,5,13880,102,383,4,4,1,2,45,1961.02455411767,1,"[0,4e+04]"
15,0,39,3,1055,244,106,33,4,2,2,63,2559.9637509729,0,"[0,4e+04]"
3,1,13,8,10046,244,108,32,3,1,2,24,3811.49660240958,0,"[0,4e+04]"
17,1,32,0,3083,267,327,44,3,2,2,20,1115.96479860092,0,"[0,4e+04]"
16,0,50,7,15678,223,102,15,5,1,1,69,2208.61245608465,1,"[0,4e+04]"
6,0,29,4,12108,219,140,36,3,2,1,39,3686.34345126542,0,"[0,4e+04]"
23,0,46,0,9650,216,64,2,2,2,1,55,1976.96238918564,0,"[0,4e+04]"
22,0,30,3,5957,3,133,46,5,1,2,63,159.982610463482,1,"[0,4e+04]"
29,1,18,0,5255,35,198,47,3,2,1,61,2536.9720952756,0,"[0,4e+04]"
4,0,13,5,9411,177,367,42,4,2,2,35,3687.05581269773,1,"[0,4e+04]"
11,1,43,1,16344,256,154,49,3,1,1,29,4884.0820459228,1,"[0,4e+04]"
16,0,21,4,9691,16,78,20,1,1,2,48,185.230765986754,1,"[0,4e+04]"
22,1,30,6,18214,198,435,40,5,1,1,56,2699.60301075489,1,"[0,4e+04]"
12,0,21,1,3395,47,381,7,3,1,2,22,2249.69331069479,1,"[0,4e+04]"
22,0,48,5,1203,61,481,21,3,1,1,61,1212.2439464547,0,"[0,4e+04]"
24,1,55,5,19194,68,249,4,2,1,1,58,3188.81360023619,0,"[0,4e+04]"
2,0,17,4,19476,146,376,16,4,1,1,46,818.112464278911,1,"[0,4e+04]"
8,0,40,4,3044,161,86,36,4,1,2,60,1419.32383657426,0,"[0,4e+04]"
29,0,19,2,7272,226,303,13,2,2,1,53,3908.78695087562,0,"[0,4e+04]"
16,1,52,9,3514,229,240,38,2,1,1,31,2302.05870012777,1,"[0,4e+04]"
16,0,15,9,9990,177,87,40,1,2,1,61,4968.35323459942,1,"[0,4e+04]"
29,0,9,1,6192,55,462,27,5,1,2,35,1932.30372074397,0,"[0,4e+04]"
19,1,52,6,10767,77,482,30,4,1,1,24,2316.30533050108,0,"[0,4e+04]"
15,1,10,0,16528,269,323,16,2,1,2,40,1501.28881044267,1,"[0,4e+04]"
24,1,44,5,7507,205,171,34,2,1,1,50,1181.46803095523,0,"[0,4e+04]"
21,0,31,5,4857,280,356,39,5,2,1,62,4611.40705597409,1,"[0,4e+04]"
12,0,53,2,12118,227,16,21,2,2,2,33,3744.13320064366,1,"[0,4e+04]"
26,0,23,1,17761,238,222,44,1,1,2,54,1667.01266100707,1,"[0,4e+04]"
18,1,52,1,3146,287,293,47,5,2,1,68,3500.77994822862,0,"[0,4e+04]"
16,0,30,8,17177,81,393,28,1,1,2,42,4828.9187521828,1,"[0,4e+04]"
3,0,33,4,5756,249,309,9,3,2,2,26,370.23982806957,1,"[0,4e+04]"
11,1,57,6,4414,192,497,17,4,1,2,45,1322.5220218543,1,"[0,4e+04]"
28,1,52,4,17494,105,218,34,2,2,1,26,1002.89274597501,1,"[0,4e+04]"
8,1,9,6,3937,188,233,43,5,2,1,29,4348.91581822205,1,"[0,4e+04]"
18,1,54,3,3963,275,389,15,1,2,1,35,895.95164775758,0,"[0,4e+04]"
11,1,47,7,5897,73,247,49,4,1,2,44,1540.37997994832,0,"[0,4e+04]"
8,0,1,9,8974,9,389,48,4,2,2,43,2719.30386663092,0,"[0,4e+04]"
6,1,44,9,14377,122,51,6,2,1,2,43,3105.47177793475,1,"[0,4e+04]"
27,0,35,6,17500,215,14,29,4,2,2,27,4040.91881266328,0,"[0,4e+04]"
13,0,11,9,16056,289,323,18,2,1,1,34,2036.61623276952,1,"[0,4e+04]"
19,1,34,4,1750,39,440,22,3,1,2,68,2671.22361326946,0,"[0,4e+04]"
18,1,16,5,4027,192,111,7,2,1,1,49,4827.31037522103,0,"[0,4e+04]"
25,1,9,4,11528,126,183,16,1,2,2,41,1486.80868321703,1,"[0,4e+04]"
14,0,32,6,5745,288,359,20,4,2,1,60,1240.47105582662,0,"[0,4e+04]"
15,1,15,1,9679,70,6,25,4,1,1,65,3552.99595670876,0,"[0,4e+04]"
20,1,12,4,5938,136,50,27,4,1,2,25,3855.68135600236,0,"[0,4e+04]"
4,1,33,9,12150,143,313,38,2,1,2,47,2073.89451590154,1,"[0,4e+04]"
2,1,45,2,13406,298,240,32,5,2,2,43,1064.89459110945,0,"[0,4e+04]"
11,1,14,8,19781,268,244,39,2,2,1,41,3894.61327905696,1,"[0,4e+04]"
24,0,57,5,17743,138,447,18,1,2,2,44,3352.46447639519,1,"[0,4e+04]"
19,0,57,9,4853,51,364,28,2,2,1,32,4381.1390064012,1,"[0,4e+04]"
26,0,8,2,18325,16,366,19,4,2,2,45,4221.63232163561,0,"[0,4e+04]"
20,1,8,6,3148,164,409,19,3,1,1,28,1025.97592252117,0,"[0,4e+04]"
3,1,27,3,16243,12,185,9,1,1,2,56,4161.6959004434,1,"[0,4e+04]"
20,1,12,2,7933,189,286,11,3,1,1,19,875.868705594519,1,"[0,4e+04]"
22,0,1,7,9436,263,449,32,1,1,1,68,4318.51951888953,0,"[0,4e+04]"
15,1,43,3,17669,220,91,24,1,2,1,26,3851.60467016339,0,"[0,4e+04]"
24,1,40,0,6474,103,105,24,4,2,2,67,2849.30537141199,0,"[0,4e+04]"
6,1,42,5,14679,197,12,3,2,1,1,62,3211.10837905223,0,"[0,4e+04]"
12,0,51,9,11228,299,145,3,4,2,2,40,520.396354373791,1,"[0,4e+04]"
20,1,11,0,770,168,477,8,4,1,1,50,199.42590743166,0,"[0,4e+04]"
9,0,39,4,1843,148,118,14,4,2,2,36,1653.23370866954,1,"[0,4e+04]"
25,1,43,6,73,248,202,25,3,2,2,30,4107.02905708595,1,"[0,4e+04]"
6,0,31,5,18044,255,140,14,1,1,1,31,2328.92786589986,0,"[0,4e+04]"
13,0,17,1,16059,41,114,25,5,1,1,49,1116.97015026603,0,"[0,4e+04]"
25,0,33,3,8000,201,151,27,2,1,2,66,4172.74449957408,0,"[0,4e+04]"
4,1,32,1,13273,243,56,6,4,2,1,39,1143.13629324486,0,"[0,4e+04]"
2,1,58,0,16121,156,381,31,1,2,2,37,4077.46861620471,0,"[0,4e+04]"
22,0,29,2,331,285,156,11,2,2,2,50,2264.89765459074,0,"[0,4e+04]"
28,0,21,2,17805,281,439,34,5,1,2,22,2317.47443633641,0,"[0,4e+04]"
10,1,21,6,7512,237,309,31,5,1,2,37,1363.59804929121,1,"[0,4e+04]"
10,1,40,0,4931,18,132,8,4,1,2,31,4500.87010449676,1,"[0,4e+04]"
17,0,23,8,12742,52,162,13,5,2,2,44,443.92637847067,0,"[0,4e+04]"
14,1,56,5,13426,84,274,12,5,2,2,43,722.031506517622,1,"[0,4e+04]"
11,1,6,3,5113,272,182,43,2,1,2,49,3179.42384123104,1,"[0,4e+04]"
8,1,22,2,8419,212,76,32,2,1,2,47,4250.57632878174,0,"[0,4e+04]"
9,1,50,2,2881,103,324,31,4,1,1,44,477.256250926138,1,"[0,4e+04]"
25,0,38,1,13145,191,43,18,1,2,2,43,3668.76124708304,0,"[0,4e+04]"
11,1,37,1,13556,176,205,29,4,2,2,35,3712.55766569743,0,"[0,4e+04]"
16,1,45,9,19249,146,37,15,3,1,2,62,2907.61365082464,1,"[0,4e+04]"
28,0,51,4,2575,80,317,11,5,1,1,40,2433.64024084832,0,"[0,4e+04]"
5,0,54,8,12714,192,21,9,1,1,1,61,1605.43879653767,0,"[0,4e+04]"
6,1,8,1,6185,36,72,1,2,2,1,64,1757.30896216333,0,"[0,4e+04]"
13,1,41,1,8656,153,240,17,3,2,1,41,3372.16736207735,1,"[0,4e+04]"
12,1,49,5,5741,129,423,12,3,2,1,21,326.436456069552,1,"[0,4e+04]"
7,1,35,9,16661,58,153,28,5,1,1,58,2924.67493772313,0,"[0,4e+04]"
9,0,51,1,65,223,236,23,2,1,2,20,1393.66096226424,0,"[0,4e+04]"
8,0,11,3,4262,248,380,37,1,1,1,60,2333.02955971971,1,"[0,4e+04]"
17,0,24,5,5704,239,4,11,2,1,1,47,2794.89809225099,1,"[0,4e+04]"
26,1,49,4,15355,292,220,28,5,1,1,64,4428.29671817166,0,"[0,4e+04]"
25,1,21,0,8594,286,309,21,3,1,1,33,2895.37444166177,1,"[0,4e+04]"
1,1,51,5,12175,203,85,35,5,1,1,24,1135.7978581951,0,"[0,4e+04]"
4,1,2,0,12696,98,176,0,4,1,2,56,397.297265861885,1,"[0,4e+04]"
28,0,40,2,6255,175,258,42,3,1,2,39,3134.94199795486,1,"[0,4e+04]"
4,0,19,9,7441,261,219,39,5,1,1,58,2725.2419817557,1,"[0,4e+04]"
5,1,39,4,14986,270,37,33,1,1,2,48,3358.98948288031,1,"[0,4e+04]"
18,0,28,9,13350,142,141,33,1,2,1,66,2296.98289568668,0,"[0,4e+04]"
7,1,59,4,14440,188,430,47,1,1,2,30,4125.62923666514,0,"[0,4e+04]"
15,1,17,9,7960,271,397,32,4,1,2,58,4600.89841119317,1,"[0,4e+04]"
12,0,6,5,17821,19,234,3,2,2,1,58,200.022111118136,0,"[0,4e+04]"
0,1,19,9,19762,299,202,37,1,1,1,69,3720.4326808156,0,"[0,4e+04]"
21,1,56,7,13665,45,328,29,4,2,1,46,175.802723734211,1,"[0,4e+04]"
19,0,38,4,6629,94,293,490,1,2,2,45,2225.48343436272,1,"[0,4e+04]"
16,1,28,0,13828,63,447,19,4,1,2,61,2308.0160838566,0,"[0,4e+04]"
6,1,2,4,4541,130,494,25,1,1,1,36,3481.09198762515,1,"[0,4e+04]"
24,0,38,2,7876,8,171,14,2,2,1,40,1762.01649100473,0,"[0,4e+04]"
12,1,55,3,13311,202,124,6,5,1,2,64,4104.50669159109,1,"[0,4e+04]"
3,0,37,7,14588,297,325,6,1,1,1,67,1714.32028972931,0,"[0,4e+04]"
3,1,51,6,16648,173,64,49,5,1,2,25,1712.58944170744,1,"[0,4e+04]"
5,0,52,4,12380,72,280,28,1,2,2,42,1113.80333829323,1,"[0,4e+04]"
27,0,4,1,9877,83,271,22,2,2,1,55,3419.34498919042,0,"[0,4e+04]"
18,0,22,5,17818,58,243,33,5,1,2,55,382.936137085299,1,"[0,4e+04]"
28,1,26,5,5097,20,14,19,4,1,2,52,1815.27542942384,0,"[0,4e+04]"
11,0,49,9,18044,156,225,14,1,2,2,43,1334.45373074781,0,"[0,4e+04]"
21,0,43,9,18738,60,464,32,1,2,2,20,1146.67817550708,1,"[0,4e+04]"
6,0,36,5,6461,63,130,16,4,1,1,19,304.916585869706,1,"[0,4e+04]"
26,0,58,8,7044,167,194,19,2,1,2,22,951.915578624036,1,"[0,4e+04]"
9,0,13,7,5497,202,292,12,3,1,1,37,2231.22205099351,1,"[0,4e+04]"
25,1,52,7,13751,128,208,43,1,2,2,29,2518.70727633678,0,"[0,4e+04]"
18,1,58,0,9304,244,438,23,4,2,1,55,1347.52336894897,0,"[0,4e+04]"
6,1,32,4,10426,105,380,46,3,1,2,33,3251.21754233284,1,"[0,4e+04]"
29,1,17,6,11058,121,112,36,1,2,2,54,1678.96668828487,0,"[0,4e+04]"
2,1,41,5,11260,181,243,6,5,1,1,55,1836.2291912481,1,"[0,4e+04]"
12,1,36,4,18563,102,165,7,4,1,2,53,3913.12167060554,0,"[0,4e+04]"
12,1,55,7,634,260,190,22,5,1,1,63,2759.83360712451,1,"[0,4e+04]"
17,0,46,2,10057,112,256,13,2,1,2,46,4765.87425597012,1,"[0,4e+04]"
27,1,19,5,13345,69,326,3,3,1,1,52,1796.50600632569,0,"[0,4e+04]"
29,0,58,4,10147,159,217,20,4,2,1,66,4139.20247997202,1,"[0,4e+04]"
25,0,35,7,18602,239,494,45,1,2,2,54,3691.68767903882,0,"[0,4e+04]"
19,1,46,3,1389,10,358,9,1,1,2,38,4450.94463720948,1,"[0,4e+04]"
27,0,40,7,13071,137,274,21,3,2,2,38,4783.9568646154,0,"[0,4e+04]"
7,0,56,9,11322,166,51,29,5,1,2,45,38.3825903841051,0,"[0,4e+04]"
28,0,59,1,4276,246,373,29,5,2,2,23,441.48873933758,0,"[0,4e+04]"
8,0,28,8,12306,30,157,15,4,2,2,37,3371.69410613754,0,"[0,4e+04]"
6,1,1,8,1249,11,362,10,4,2,2,53,1950.99929848303,1,"[0,4e+04]"
0,1,42,9,17629,242,54,21,5,2,2,30,4095.62550871373,1,"[0,4e+04]"
2,1,18,9,8245,107,13,28,4,1,2,57,59.8991483303563,1,"[0,4e+04]"
12,1,48,5,11102,193,268,24,5,2,1,28,4034.88701498215,0,"[0,4e+04]"
27,1,40,3,16226,132,339,13,3,2,1,41,676.209991518261,1,"[0,4e+04]"
29,1,33,3,10588,280,89,13,4,2,1,36,1451.24521981314,1,"[0,4e+04]"
24,1,12,5,442,290,26,1,5,2,2,40,4845.39100130377,1,"[0,4e+04]"
27,1,8,4,6976,162,88,12,4,2,1,48,257.990567740841,1,"[0,4e+04]"
16,1,24,5,4675,277,392,2,1,2,2,54,1745.20306226337,0,"[0,4e+04]"
24,1,16,6,11803,202,40,29,1,2,2,54,422.643878217532,1,"[0,4e+04]"
23,0,50,6,7953,95,303,17,2,2,2,20,4268.02203006684,1,"[0,4e+04]"
0,1,4,8,4377,222,267,35,5,1,2,51,3515.08061268712,0,"[0,4e+04]"
5,0,38,7,10599,236,137,20,2,1,1,46,4001.68693907865,1,"[0,4e+04]"
20,0,44,5,7058,116,5,18,5,1,1,20,2636.39755880986,0,"[0,4e+04]"
5,0,27,5,17206,191,241,15,4,2,1,32,1788.60009835736,1,"[0,4e+04]"
25,0,9,4,11894,275,161,27,5,1,2,24,11.3680980256303,0,"[0,4e+04]"
11,1,47,0,2939,105,179,3,1,1,2,20,1389.63656021457,0,"[0,4e+04]"
12,0,16,8,1031,3,296,14,4,1,1,64,2572.76773383057,1,"[0,4e+04]"
12,1,56,8,10208,17,466,0,1,2,2,60,3321.81018238042,1,"[0,4e+04]"
28,1,12,8,562,19,5,47,4,1,1,33,1144.68710729378,1,"[0,4e+04]"
14,0,31,7,10730,121,385,46,5,1,1,62,694.504231440671,1,"[0,4e+04]"
20,1,24,9,16724,136,270,15,5,1,1,51,1008.07431014936,1,"[0,4e+04]"
15,0,55,2,16152,79,400,19,1,1,2,37,1770.3802584556,1,"[0,4e+04]"
21,0,14,0,13998,153,271,32,3,1,1,61,741.891456007381,0,"[0,4e+04]"
20,1,45,7,18680,24,155,16,5,1,2,56,784.086672105558,0,"[0,4e+04]"
10,1,25,6,16618,168,84,4,3,1,1,50,218.758500033777,0,"[0,4e+04]"
27,0,34,4,9308,58,199,4,4,2,2,31,4283.62597177226,0,"[0,4e+04]"
4,1,3,9,9609,40,9,38,3,1,2,59,1098.79312030371,1,"[0,4e+04]"
3,1,58,6,17675,37,137,12,1,1,1,52,4109.51219530644,0,"[0,4e+04]"
2,1,24,9,8720,116,241,43,2,2,2,28,2191.54693068619,0,"[0,4e+04]"
18,0,54,3,10172,274,393,35,2,2,2,37,3162.18907356805,0,"[0,4e+04]"
19,0,42,8,14457,269,200,29,1,2,2,47,378.510680790977,1,"[0,4e+04]"
24,1,9,9,2939,126,155,3,2,2,1,45,2917.90249390092,1,"[0,4e+04]"
17,1,26,1,14345,2,407,22,1,2,2,32,1449.97701586651,1,"[0,4e+04]"
14,1,20,8,16158,292,274,20,5,1,1,55,476.049765755979,0,"[0,4e+04]"
8,1,40,8,5435,15,224,20,3,1,1,67,4541.16248083918,1,"[0,4e+04]"
16,1,10,4,5392,264,67,5,2,1,2,30,3018.14021174745,0,"[0,4e+04]"
13,0,19,0,7972,238,183,23,5,2,1,64,1208.53813622009,0,"[0,4e+04]"
14,1,3,6,17617,262,194,46,2,1,1,52,2098.24005361203,0,"[0,4e+04]"
0,0,24,9,19184,133,41,30,4,1,1,64,1784.50067039853,1,"[0,4e+04]"
20,1,5,9,14799,212,395,18,1,2,1,41,3502.89832928911,1,"[0,4e+04]"
21,0,3,3,19159,14,401,37,1,2,1,18,3037.16588013747,1,"[0,4e+04]"
21,1,58,8,15052,128,150,11,5,1,2,59,98.9108803094341,0,"[0,4e+04]"
2,0,27,5,6044,121,83,13,4,2,2,41,989.134948023367,1,"[0,4e+04]"
15,1,16,2,19871,240,133,49,3,1,1,44,2390.63986120431,1,"[0,4e+04]"
22,0,49,5,14415,114,308,11,4,2,1,35,2227.42896126895,1,"[0,4e+04]"
24,0,15,9,17274,196,353,14,4,1,2,43,2583.37440971765,0,"[0,4e+04]"
10,0,35,5,13858,221,297,18,3,1,2,46,3574.05416653157,0,"[0,4e+04]"
11,0,12,4,17572,213,449,27,3,1,2,25,3410.04499249114,0,"[0,4e+04]"
9,0,41,1,5644,79,29,39,4,2,1,61,1864.06711070996,0,"[0,4e+04]"
15,0,53,9,17124,262,8,40,2,2,1,43,4387.90813969298,1,"[0,4e+04]"
7,1,44,9,17753,134,474,4,2,2,2,22,314.662852242594,1,"[0,4e+04]"
5,0,26,90,18384,241,169,4,4,2,1,50,2922.54947555863,0,"[0,4e+04]"
11,1,47,6,17855,269,289,5,2,1,2,57,4748.42746284765,1,"[0,4e+04]"
23,1,34,1,17920,286,167,22,3,1,2,22,2745.40718912661,0,"[0,4e+04]"
27,1,23,5,16702,49,343,2,3,1,1,66,2275.53150406428,1,"[0,4e+04]"
20,1,31,4,5153,188,496,36,2,1,2,64,669.587943482122,1,"[0,4e+04]"
7,1,50,3,1894,296,144,32,3,2,2,53,4050.94547635806,1,"[0,4e+04]"
25,0,20,6,7991,13,412,42,1,2,2,30,1868.97445020456,0,"[0,4e+04]"
27,0,12,7,15439,231,227,20,3,2,2,34,3506.22954742344,1,"[0,4e+04]"
3,0,23,3,9467,260,305,19,4,2,2,30,987.734402035285,1,"[0,4e+04]"
25,1,4,0,5935,191,75,0,5,1,1,42,209.316014660745,1,"[0,4e+04]"
7,0,23,0,17107,202,222,38,2,2,2,19,1527.33726264,1,"[0,4e+04]"
25,0,48,0,2329,260,176,46,2,2,1,41,1407.06930728445,0,"[0,4e+04]"
27,0,55,0,9327,112,456,16,3,2,1,53,4367.37626763637,0,"[0,4e+04]"
17,0,48,4,2770,35,188,28,3,1,2,42,4323.36889292377,0,"[0,4e+04]"
27,0,1,3,4846,2990,466,7,5,1,2,51,2669.4711130069,1,"[0,4e+04]"
27,1,54,8,16651,274,301,25,5,1,2,29,94.9947278609681,1,"[0,4e+04]"
4,0,25,2,16276,277,45,27,4,2,1,36,1141.62331460238,1,"[0,4e+04]"
8,1,2,6,14633,161,381,33,1,1,1,67,3195.06297106717,0,"[0,4e+04]"
3,1,30,7,13628,16,16,25,4,1,1,59,507.042007151838,0,"[0,4e+04]"
26,1,3,5,569,203,65,12,2,1,2,47,3503.11132359724,1,"[0,4e+04]"
21,1,58,9,1973,16,359,43,3,1,2,54,59.8113147937174,0,"[0,4e+04]"
16,1,21,0,2822,201,260,36,4,1,2,60,3412.68387684635,0,"[0,4e+04]"
8,0,25,7,270,209,122,12,3,1,2,18,4222.6962142969,1,"[0,4e+04]"
0,0,20,9,16320,77,230,37,3,2,2,20,2346.08859823058,0,"[0,4e+04]"
20,0,49,2,7641,55,437,24,4,2,1,66,4145.40495055019,1,"[0,4e+04]"
19,1,52,7,8930,79,124,46,4,1,1,43,3907.63866621935,0,"[0,4e+04]"
12,0,22,3,6680,57,111,22,5,2,1,32,3357.09575083839,0,"[0,4e+04]"
27,0,21,7,1257,17,271,21,1,1,2,63,2225.74640698917,0,"[0,4e+04]"
15,1,33,0,8250,207,80,20,5,2,2,64,1359.52022200747,0,"[0,4e+04]"
28,1,52,2,5370,134,245,29,1,1,1,65,4304.31981084434,1,"[0,4e+04]"
12,1,38,5,4858,9,346,10,4,2,2,45,3242.95189831474,1,"[0,4e+04]"
13,1,15,8,8581,68,390,3,1,1,1,21,3990.08417625288,0,"[0,4e+04]"
2,0,58,1,13491,82,499,32,2,1,2,36,2759.83463864446,1,"[0,4e+04]"
28,1,58,0,12436,108,391,46,5,2,2,41,859.332172469623,0,"[0,4e+04]"
5,1,46,9,12870,43,327,11,5,1,2,57,4897.18969756768,1,"[0,4e+04]"
17,0,52,2,16504,131,214,8,5,2,2,23,913.693757288187,0,"[0,4e+04]"
18,0,15,3,6908,17,351,31,3,1,1,33,4556.20750512452,1,"[0,4e+04]"
4,1,46,4,10844,92,234,10,3,1,2,49,1040.69323022487,0,"[0,4e+04]"
14,0,25,2,18687,293,366,36,4,1,1,47,1868.74720873218,0,"[0,4e+04]"
24,1,21,9,4861,147,81,23,4,1,1,52,2200.41722268713,1,"[0,4e+04]"
1,1,24,1,2911,171,293,6,3,2,1,25,4606.87994764073,0,"[0,4e+04]"
9,0,57,1,8991,50,309,7,5,2,1,22,4440.99285456532,0,"[0,4e+04]"
23,0,58,6,11572,18,75,32,3,2,1,54,4116.10488976218,0,"[0,4e+04]"
29,1,5,8,10298,119,14,24,1,2,2,29,1883.37573747867,0,"[0,4e+04]"
17,1,6,9,7236,224,219,0,5,2,1,42,22.4662341446008,1,"[0,4e+04]"
26,1,49,1,5565,65,229,2,3,1,1,50,3407.9166005376,1,"[0,4e+04]"
12,0,43,6,17493,140,433,39,4,1,1,56,2054.76917232602,0,"[0,4e+04]"
4,1,48,6,6929,188,439,27,3,2,1,41,3785.29096418718,0,"[0,4e+04]"
22,1,44,6,17634,157,478,42,2,1,1,28,3974.26023041775,1,"[0,4e+04]"
23,1,47,2,18033,97,371,32,3,2,2,59,2198.61701458712,1,"[0,4e+04]"
0,1,23,6,7351,157,264,45,5,1,1,52,3740.51282658474,0,"[0,4e+04]"
21,1,4,0,19340,245,263,0,3,2,2,57,4199.68640259839,0,"[0,4e+04]"
0,0,27,9,14901,235,109,37,4,1,1,18,4642.3806580075,1,"[0,4e+04]"
17,1,18,0,10638,32,402,26,1,1,2,25,2912.27666244697,0,"[0,4e+04]"
14,1,21,4,5828,240,306,37,2,2,2,40,3892.39384529941,1,"[0,4e+04]"
16,1,28,1,11556,274,199,34,5,1,2,37,2472.82435104824,1,"[0,4e+04]"
10,1,35,8,18099,70,225,9,4,2,2,49,208.31500214981,1,"[0,4e+04]"
20,0,22,6,8150,215,184,11,2,1,2,28,776.107138995917,0,"[0,4e+04]"
25,0,40,3,10107,78,451,9,3,2,2,24,641.12254619835,1,"[0,4e+04]"
24,0,23,3,19867,168,30,33,2,1,2,47,858.827950577394,1,"[0,4e+04]"
21,1,3,1,1757,297,101,23,1,2,1,65,51.0637480642162,0,"[0,4e+04]"
26,1,40,4,18193,179,258,27,2,1,2,56,4293.53411632576,1,"[0,4e+04]"
26,0,50,3,11199,115,98,21,2,1,1,30,2800.74659974506,1,"[0,4e+04]"
16,0,10,0,16295,259,338,44,3,2,1,59,1915.75001505634,1,"[0,4e+04]"
12,0,25,7,12807,259,298,15,3,2,1,66,2048.89435788488,1,"[0,4e+04]"
0,1,52,2,17535,4,284,12,5,2,2,20,2316.75546859435,1,"[0,4e+04]"
1,1,49,5,5492,296,265,35,3,2,1,24,369.417502097963,1,"[0,4e+04]"
8,0,8,3,6302,107,139,35,2,1,2,60,1373.3270578996,0,"[0,4e+04]"
2,0,55,8,15929,116,301,42,1,1,2,30,4258.13218546042,0,"[0,4e+04]"
0,0,11,6,4747,12,285,22,3,1,2,54,3718.37618106992,0,"[0,4e+04]"
20,1,5,8,14238,141,349,13,5,1,1,42,2817.02769126954,1,"[0,4e+04]"
15,1,58,9,8402,187,465,31,5,1,1,40,2403.51992334982,1,"[0,4e+04]"
22,1,45,2,10686,280,215,2,2,2,2,68,1294.8659249545,1,"[0,4e+04]"
5,0,53,0,4681,114,31,26,3,2,2,64,2356.27484823553,0,"[0,4e+04]"
27,0,55,4,18891,235,456,18,3,2,2,50,2989.27638033407,0,"[0,4e+04]"
16,1,37,2,19347,9,302,21,5,2,2,22,3563.1897571579,1,"[0,4e+04]"
4,0,56,5,3428,198,87,0,3,2,1,49,833.200938761619,0,"[0,4e+04]"
4,1,59,7,7494,251,62,4,2,1,1,47,4065.55134235389,0,"[0,4e+04]"
5,0,45,3,3955,49,409,48,1,1,1,48,1729.05638516911,1,"[0,4e+04]"
2,0,38,4,14026,141,386,32,2,2,1,30,2516.29041645178,0,"[0,4e+04]"
20,0,29,4,9244,270,278,18,3,2,1,59,3039.52158298166,0,"[0,4e+04]"
22,0,5,3,713,15,458,35,2,2,2,22,2440.47578110517,0,"[0,4e+04]"
4,1,9,3,11080,1,73,5,4,1,2,40,2859.7845207706,0,"[0,4e+04]"
20,0,59,3,8521,157,305,14,4,2,1,18,557.617323414356,1,"[0,4e+04]"
4,1,48,3,1746,29,419,35,3,2,2,27,2160.77727554318,1,"[0,4e+04]"
9,1,2,3,17591,81,123,32,3,2,1,67,1402.33735468113,0,"[0,4e+04]"
9,1,1,4,17168,30,268,23,1,1,2,44,430.130769434351,0,"[0,4e+04]"
18,0,40,1,2696,235,381,26,2,2,2,25,958.246128159971,0,"[0,4e+04]"
16,1,51,1,12012,147,284,48,1,1,2,69,3012.22283213729,0,"[0,4e+04]"
20,1,30,8,14688,176,421,10,3,2,1,20,983.432013257252,1,"[0,4e+04]"
13,1,11,1,5036,34,460,48,3,2,1,36,905.320050595467,1,"[0,4e+04]"
8,0,28,5,7127,22,120,22,5,1,1,68,2764.15216193318,0,"[0,4e+04]"
